,Tournament,HandId,Level,ante,BB,Players,Board,SHOW_DOWN,pflop_chip_rais,pflop_chip_calls,flop_chip_bets,flop_chip_raises,flop_chip_calls,turn_chip_bets,turn_chip_raises,turn_chip_calls,river_chip_bets,river_chip_raises,river_chip_calls,pflop_rais,pflop_calls,pflop_allin,flop_bets,flop_raises,flop_calls,flop_allin,turn_bets,turn_raises,turn_calls,turn_allin,river_bets,river_raises,river_calls,river_allin
13471,2005725245,1599011333,XXXIX,20000,300000,7,Jc 2c Ac Ts 3h,8s Js,16188398,1439039,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
13472,2005725245,1599011525,XXXIX,20000,300000,8,5h Jc 7d 7c 4d,3c Ah,315000,165000,0,0,0,357500,0,357500,790000,0,790000,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0
13473,2005725245,1599011670,XXXIX,20000,300000,8,Tc Qd 6d Qc 9h,Qd Ah,3652104,2282104,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13474,2005725245,1599011871,XXXIX,20000,300000,8,7c 4s 5h 9h Jc,5d 5c,3240514,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
13475,2005725245,1599012258,XL,7000,350000,8,8c 5d 3s 2d 5s,Th Ah,0,90000,0,0,0,60000,0,120000,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0
13476,2005725245,1599012768,XL,7000,350000,8,5h 6h Qc 9d Jc,Kd Ks,922000,862000,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13477,2005725245,1599013392,XL,7000,350000,7,7d Th 8d Jd 2d,Kh Qs,620750,380750,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13478,2005725245,1598913558,XXI,7000,10000,8,4d Jc Kh 8h Jh,Kd Jh,888154,490154,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
13479,2005725245,1598915268,XXI,8500,10000,7,4d 5d 5h 6c Kc,Ks Jc,140000,175000,105000,262185,262185,554435,0,554435,2055167,0,2050627,1,2,0,1,1,1,0,1,0,1,0,1,0,1,2
13480,2005725245,1598916957,XXI,1150,10000,8,7c 3s 8d Qh Ts,8s 8c,45000,85500,27000,54000,81000,27000,211600,131100,0,0,0,1,3,0,1,1,2,0,1,1,2,1,0,0,0,0
13481,2005725245,1598917718,XXI,1150,10000,8,Qc Ks 5s 4s 7c,8c 9d,18000,27000,22341,0,22341,27000,207359,180359,0,0,0,1,2,0,1,0,1,0,1,1,1,1,0,0,0,0
13482,2005725245,1598918334,XXI,1300,10000,8,6d 2s Kd 7d 9s,Tc Js,0,5000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13483,2005725245,1598919431,XXI,1300,10000,8,5h 3h 3c 5d 5c,Ad Ts,774250,666390,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
13484,2005725245,1598920041,XXI,1300,10000,8,Jd 3s 6s Js 4h,As Qh,20000,25000,23232,0,23232,58432,0,58432,0,0,0,1,2,0,1,0,1,0,1,0,1,0,0,0,0,0
13485,2005725245,1598921123,XXII,1300,12000,8,Jc 4h Ks 7d Kd,Qc Tc,85260,105520,71339,0,71339,0,0,0,179429,0,0,2,2,1,1,0,1,0,0,0,0,0,1,0,0,0
13486,2005725245,1598922100,XXII,1300,12000,7,Kh 8c Jd Td 4c,9s As,22050,34100,35125,0,70250,76482,395775,319293,0,0,0,1,2,0,1,0,2,0,1,1,1,1,0,0,0,0
13487,2005725245,1598922413,XXII,1500,12000,8,Jh 5c As Qh 3h,Ks Kd,74703,149406,224797,0,224797,0,0,0,0,0,0,1,4,0,1,0,1,1,0,0,0,0,0,0,0,0
13488,2005725245,1598924599,XXII,1500,12000,8,3c 6h 9h 3s Qd,Kc Kh,96000,114000,114000,0,114000,264000,0,264000,996000,0,295500,2,2,0,1,0,1,0,1,0,1,0,1,0,1,1
13489,2005725245,1598930471,XXII,1500,12000,8,4c 4h Qs 8h 2d,Ks Kh,24000,36000,0,0,0,24000,0,48000,81000,0,81000,1,2,0,0,0,0,0,1,0,2,0,1,0,1,0
13490,2005725245,1598930893,XXIII,1500,14000,8,Qh 9s 5s Ah 9h,Qd 2c,36000,96000,81000,243000,572600,60000,0,120000,168811,0,168811,1,4,0,1,1,4,1,1,0,2,0,1,0,1,1
13491,2005725245,1598931437,XXIII,1750,14000,8,8s Jh 9c 2d 6d,Qd 9d,28000,28000,0,0,0,30030,0,30030,100707,0,100707,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0
13492,2005725245,1598931989,XXIII,1750,14000,8,Kd Td 9h 5c Th,3c As,77000,154000,133000,771229,638229,0,0,0,0,0,0,1,3,0,1,1,1,1,0,0,0,0,0,0,0,0
13493,2005725245,1598932613,XXIII,1750,14000,8,4c 9s 8c 2d 5c,Qh Ah,47250,94500,132563,0,132563,220938,0,220938,291638,0,291638,1,2,0,1,0,1,0,1,0,1,0,1,0,1,0
13494,2005725245,1598933091,XXIII,1750,14000,8,Td 6h 9s 3c 5s,9d Ac,42000,105000,121333,0,121333,212333,707777,353334,0,0,0,1,4,0,1,0,1,0,1,1,1,1,0,0,0,0
13495,2005725245,1598933493,XXIII,1750,14000,8,Js 2s Jc 2d 5s,9s As,28000,28000,28000,0,28000,42000,0,42000,28000,0,28000,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
13496,2005725245,1598935570,XXIII,2000,14000,8,7h 2h 6s 7s Th,Kh Qs,78318,78318,196636,0,196636,839848,0,839848,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0
13497,2005725245,1598936552,XXIII,2000,14000,8,8d 4d 7d 3s 2c,Ac Kd,0,8000,0,0,0,16000,0,16000,16000,0,16000,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0
13498,2005725245,1598937167,XXIII,2000,14000,8,Qh 3c 3s Th 2s,9d Jc,32000,56000,0,0,0,64000,0,128000,0,0,0,1,2,0,0,0,0,0,1,0,2,0,0,0,0,0
13499,2005725245,1598938129,XXIV,2000,16000,8,7d 4s 6c 9s 9d,Qd Qc,32000,16000,0,0,0,29040,0,29040,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
13500,2005725245,1598939957,XXIV,2000,16000,8,7s 3c Kh Jc 7d,Qs Qc,32000,40000,30330,0,30330,139972,699860,106436,0,0,0,1,2,0,1,0,1,0,1,2,1,1,0,0,0,0
13501,2005725245,1598941085,XXIV,2000,16000,8,7c 9c 6c Kc 8c,Ad 4d,412031,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13502,2005725245,1598942402,XXIV,2000,16000,8,6d Jh 5c 7s 7h,9d Ah,32000,48000,46000,0,92000,66000,0,66000,116000,0,116000,1,2,0,1,0,2,0,1,0,1,0,1,0,1,0
13503,2005725245,1598942890,XXIV,2500,16000,8,7s 6d Qd Ah 3s,6c As,40000,30000,60000,0,60000,120000,0,120000,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
13504,3660276317,1599141484,III,2500,400,8,2h Jd Jh 7c Jc,Ad 7h,4242187,436000,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
13505,3660276317,1599141842,IV,2500,500,8,6h 8h Ac 3c 8c,7c 6c,40000,130000,20000,40000,20000,200000,2678011,174234,0,0,0,1,4,0,1,1,1,0,1,2,1,2,0,0,0,0
13506,3660276317,1599143394,IV,2500,500,8,8d Ah 4c Tc 6d,Qd As,0,30000,20000,0,20000,40000,0,40000,0,0,0,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0
13507,3660276317,1599143757,IV,2500,500,8,7c Js 8s Ac Kc,7h 9h,1909731,80000,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
13508,3660276317,1599144308,IV,2500,500,8,7d 9h Qd 6h 5d,7c 5s,60000,120000,105000,775000,523463,0,0,0,0,0,0,1,3,0,1,1,2,2,0,0,0,0,0,0,0,0
13509,3660276317,1599144620,IV,2500,500,8,8h Jh 3c 3s 7s,Jd Th,66964,66964,0,0,0,91964,0,91964,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0
13510,3660276317,1599144903,IV,3000,500,8,Jc 9c 4h Kh 4d,Js Qc,50000,125000,25000,1066457,359941,0,0,0,0,0,0,1,3,0,1,3,1,1,0,0,0,0,0,0,0,0
13511,3660276317,1599145227,IV,3000,500,8,7d As Qs Jc 9s,Kh Ah,50000,37500,74500,138037,63537,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
13512,3660276317,1599146982,V,3000,600,8,5d 8d 8c Td Qs,Ad Ks,80750,229750,186000,0,186000,1002250,0,859667,0,0,0,1,5,0,1,0,1,0,1,0,1,2,0,0,0,0
13513,3660276317,1599147516,V,3000,600,8,Kh 7h Ks 7c 7d,Ah Kc,241000,228500,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13514,3660276317,1599148507,V,3000,600,8,4s 5d Qs 6s 4h,Qh Ac,186583,86583,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13515,3660276317,1599149112,V,3000,600,8,2h 4c Th 3s Ah,Ad 3s,324000,311500,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13516,3660276317,1599150091,V,3500,600,7,Jh 5c Ts Qd 8h,Kh As,75000,45000,45000,0,45000,90000,0,90000,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
13517,3660276317,1599151511,V,3500,600,8,Js 7d Td 5d Ts,6s 6d,60000,60000,60000,953500,207500,0,0,0,0,0,0,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0
13518,3660276317,1599152232,VI,3500,700,8,6s 5d Kd Jh 4d,Ah Kd,120000,225000,150000,0,150000,0,0,0,165000,0,165000,1,4,0,1,0,1,0,0,0,0,0,1,0,1,0
13519,3660276317,1599152514,VI,3500,700,8,8h 7h 3h Td 2h,Ac 4s,105000,105000,579000,0,579000,0,0,0,0,0,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0
13520,3660276317,1599157078,VI,4000,700,8,5c Qc Jc 3s 3c,Kc Jc,2580045,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
13521,3660276317,1599157464,VI,4000,700,8,2s 8s 3h Js 8h,Th 8h,2835545,641000,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
13522,3660276317,1599157843,VI,4000,700,8,3c 8d 4s Td 8h,2c 2h,87500,227500,122500,0,122500,175000,1219000,1044000,0,0,0,1,3,0,1,0,1,0,1,1,1,1,0,0,0,0
13523,3660276317,1599158518,VI,4000,700,8,7h 8h Ad Js 5c,Jd Ks,70000,35000,94750,0,94750,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
13524,3660276317,1599159724,VII,4000,800,8,5d 9s Kd Qs 7d,Qc Kh,105000,210000,122500,0,245000,383500,1587465,2776302,0,0,0,1,2,0,1,0,2,0,1,1,3,2,0,0,0,0
13525,3660276317,1599160249,VII,4000,800,7,9h Tc 6h Kh 6s,7s 5s,65301,95602,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
13526,3660276317,1599160737,VII,4000,800,7,Td 4h 4c Qd 9d,Ah 2c,2260045,202403,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
13527,3660276317,1599161555,VII,5000,800,8,Kc 2c 3s 7s 8h,Ac Ad,3677250,140000,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
13528,3660276317,1599162436,VII,5000,800,8,3s 3d Qs Tc 5c,Qs 2d,633806,523750,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
13529,3660276317,1599163629,VII,5000,800,8,5s Ts Kh Tc 9d,Jd As,105056,65056,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13530,3660276317,1599165053,VIII,5000,1000,8,2h Jh 5d 6h Kh,7d 7s,265112,510224,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
13531,3660276317,1599167674,VIII,5000,1000,7,5h Ac 8h Qs 7c,Ks Qc,4592990,80000,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
